,Saler,Production Year,Milage,Transmition,Quantity of doors,Color,Invoice,Country of origin,Accident-free,Serviced in aso,First registration,Polish registration,First owner,Alloy wheels,Description,price,location
72,Osoby prywatnej,2009.0,115 000 km,Manualna,5,Niebieski,1.0,Niemcy,1.0,1.0,01/04/2009,1.0,0.0,1.0,0.0,13900,7
73,Firmy,2008.0,129 803 km,Manualna,5,Szary,0.0,Polska,0.0,1.0,09/04/2008,1.0,0.0,0.0,0.0,12300,12
74,Firmy,2009.0,117 000 km,Manualna,3,Czerwony,1.0,Niemcy,0.0,0.0,30/06/2009,1.0,0.0,0.0,0.0,10900,15
75,Firmy,2010.0,69 000 km,Manualna,3,Czerwony,1.0,Polska,1.0,1.0,17/12/2010,1.0,1.0,0.0,0.0,14999,12
76,Firmy,2008.0,124 000 km,Manualna,5,Czerwony,1.0,Szwajcaria,1.0,1.0,12/12/2008,1.0,1.0,0.0,0.0,12400,5
77,Firmy,2008.0,196 000 km,Manualna,3,Biały,1.0,Niemcy,0.0,0.0,29/09/2008,0.0,0.0,0.0,0.0,8499,5
78,Firmy,2008.0,53 000 km,Manualna,3,Czerwony,0.0,Polska,0.0,0.0,12/05/2008,0.0,0.0,0.0,0.0,12500,7
79,Osoby prywatnej,2009.0,149 000 km,Manualna,5,Niebieski,1.0,Niemcy,1.0,1.0,02/02/2009,0.0,0.0,1.0,0.0,13900,16
80,Firmy,2007.0,219 000 km,Manualna,5,Srebrny,1.0,NaN,1.0,1.0,NaN,0.0,0.0,0.0,0.0,9900,12
81,Firmy,2008.0,119 120 km,Manualna,3,Czerwony,1.0,NaN,0.0,0.0,NaN,0.0,0.0,1.0,0.0,12800,12
82,Firmy,2008.0,173 746 km,Manualna,5,Srebrny,1.0,Polska,0.0,1.0,10/06/2008,1.0,0.0,0.0,0.0,11900,15
83,Firmy,2009.0,170 000 km,Manualna,5,Biały,0.0,Francja,0.0,0.0,NaN,0.0,0.0,0.0,0.0,6900,15
84,Firmy,2008.0,167 000 km,Manualna,3,Inny kolor,0.0,Austria,0.0,0.0,NaN,1.0,0.0,1.0,0.0,10500,15
85,Firmy,2011.0,92 000 km,Manualna,5,Czerwony,0.0,NaN,0.0,0.0,11/10/2011,0.0,0.0,0.0,0.0,11500,3
86,Osoby prywatnej,2009.0,102 000 km,Manualna,5,Czerwony,1.0,Niemcy,1.0,0.0,05/03/2009,0.0,0.0,0.0,0.0,8990,5
87,Firmy,2011.0,151 000 km,Manualna,5,Szary,1.0,Niemcy,1.0,1.0,NaN,1.0,1.0,0.0,0.0,14990,15
88,Firmy,2009.0,186 642 km,Manualna,3,Szary,1.0,Niemcy,0.0,0.0,15/09/2009,0.0,0.0,0.0,0.0,11400,15
89,Osoby prywatnej,2009.0,200 000 km,Manualna,5,Czerwony,0.0,Niemcy,1.0,0.0,27/07/2009,0.0,0.0,0.0,0.0,10500,9
90,Osoby prywatnej,2008.0,210 000 km,Manualna,5,Inny kolor,1.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,8900,1
91,Firmy,2006.0,166 000 km,Manualna,5,Szary,1.0,NaN,1.0,1.0,NaN,0.0,0.0,0.0,0.0,8200,3
92,Osoby prywatnej,2008.0,122 000 km,Manualna,5,Czerwony,0.0,Polska,1.0,0.0,08/07/2008,0.0,0.0,0.0,0.0,8950,6
93,Osoby prywatnej,2011.0,195 148 km,Manualna,5,Biały,1.0,Niemcy,1.0,1.0,NaN,1.0,0.0,0.0,0.0,15300,9
94,Firmy,2007.0,113 000 km,Manualna,5,Niebieski,0.0,NaN,0.0,0.0,20/11/2007,1.0,0.0,1.0,0.0,10900,11
95,Firmy,2009.0,127 000 km,Manualna,5,Czerwony,1.0,Niemcy,1.0,1.0,25/09/2009,0.0,0.0,0.0,0.0,10900,5
96,Firmy,2013.0,96 000 km,Manualna,5,Biały,1.0,NaN,0.0,1.0,NaN,1.0,0.0,1.0,0.0,16900,15
97,Firmy,2006.0,190 000 km,Manualna,5,Szary,1.0,Niemcy,1.0,1.0,NaN,0.0,0.0,1.0,0.0,9900,7
98,Firmy,2013.0,170 000 km,Manualna,3,Biały,0.0,Niemcy,0.0,0.0,NaN,1.0,0.0,0.0,0.0,15990,6
99,Osoby prywatnej,2007.0,150 645 km,Manualna,5,Czarny,0.0,Niemcy,0.0,0.0,28/09/2007,1.0,0.0,0.0,0.0,10900,15
100,Osoby prywatnej,2010.0,147 600 km,Manualna,5,Srebrny,0.0,Austria,0.0,0.0,10/03/2010,1.0,0.0,0.0,0.0,11500,8
101,Firmy,2013.0,178 000 km,Manualna,3,Biały,1.0,Niemcy,1.0,1.0,24/10/2013,0.0,1.0,0.0,0.0,14999,7
102,Osoby prywatnej,2014.0,122 830 km,Manualna,5,Czerwony,1.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,19900,1
103,Osoby prywatnej,2009.0,124 850 km,Manualna,5,Niebieski,1.0,NaN,1.0,1.0,13/02/2009,0.0,0.0,1.0,0.0,13999,1
104,Firmy,2010.0,93 000 km,Manualna,5,Czerwony,1.0,Niemcy,1.0,1.0,NaN,0.0,1.0,0.0,0.0,14900,9
105,Osoby prywatnej,2008.0,178 000 km,Manualna,5,Czerwony,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,9900,12
106,Firmy,2014.0,138 000 km,Manualna,5,Biały,1.0,Niemcy,1.0,1.0,NaN,0.0,1.0,0.0,0.0,17900,9
107,Firmy,2008.0,85 000 km,Manualna,3,Czarny,1.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,11900,7
108,Firmy,2013.0,114 632 km,Manualna,3,Biały,1.0,Niemcy,1.0,1.0,NaN,0.0,1.0,0.0,0.0,16400,12
109,Firmy,2010.0,117 000 km,Manualna,5,Czarny,1.0,Niemcy,0.0,1.0,NaN,0.0,0.0,0.0,0.0,13400,12
